student_id,course_id,Attended,course_Attended_rate,total_Attended_rate
0,4,1,1.0,0.98
1,4,1,0.9,0.97
2,4,1,1.0,0.99
3,4,1,1.0,0.99
4,4,0,0.2,0.81
5,4,1,1.0,1.0
6,4,1,0.95,0.81
7,4,1,1.0,1.0
8,4,1,1.0,0.97
9,4,1,1.0,0.84
10,4,1,1.0,0.99
11,4,1,1.0,0.84
12,4,1,1.0,1.0
13,4,1,1.0,0.98
14,4,1,1.0,0.84
15,4,0,0.2,0.83
16,4,1,1.0,0.99
17,4,1,0.85,0.95
18,4,1,0.95,0.99
19,4,1,1.0,1.0
20,4,1,1.0,1.0
21,4,1,1.0,0.99
22,4,1,1.0,0.97
23,4,1,0.2,0.83
24,4,1,1.0,1.0
25,4,1,0.2,0.81
26,4,1,1.0,0.99
27,4,1,1.0,0.99
28,4,1,0.95,0.99
29,4,1,1.0,1.0
30,4,1,1.0,0.99
31,4,1,0.95,0.96
32,4,1,1.0,0.99
33,4,1,1.0,0.99
34,4,1,1.0,0.99
35,4,1,1.0,0.98
36,4,1,1.0,1.0
37,4,1,0.9,0.97
38,4,1,1.0,0.97
39,4,1,1.0,0.97
40,4,1,1.0,0.84
41,4,1,0.95,0.97
42,4,1,0.95,0.82
43,4,1,1.0,0.81
44,4,0,0.9,0.66
45,4,1,1.0,0.97
46,4,1,0.95,0.96
47,4,1,1.0,0.98
48,4,1,1.0,1.0
49,4,1,0.95,0.82
50,4,1,1.0,0.99
51,4,1,0.95,0.81
52,4,0,0.95,0.97
53,4,1,1.0,0.97
54,4,1,1.0,0.98
55,4,1,1.0,0.99
56,4,1,0.95,0.97
57,4,1,1.0,1.0
58,4,1,1.0,0.84
59,4,1,0.95,0.98
60,4,1,1.0,0.99
61,4,1,1.0,0.99
62,4,1,1.0,0.97
63,4,1,1.0,0.99
64,4,1,1.0,0.98
65,4,0,0.2,0.68
66,4,1,0.85,0.96
67,4,1,0.9,0.97
68,4,1,0.95,0.97
69,4,1,0.95,0.82
70,4,1,1.0,0.99
71,4,1,0.95,0.83
72,4,1,1.0,0.99
73,4,1,0.95,0.99
74,4,1,1.0,0.67
75,4,1,0.95,0.97
76,4,1,1.0,0.99
77,4,1,1.0,0.83
78,4,1,1.0,0.83
79,4,1,0.95,0.98
80,4,1,0.95,0.81
81,4,1,1.0,0.83
82,4,1,1.0,0.83
83,4,1,0.95,0.82
84,4,1,1.0,0.97
85,4,0,0.2,0.84
86,4,1,1.0,0.79
87,4,1,1.0,0.81
88,4,1,1.0,1.0
89,4,1,0.95,0.99
0,4,1,1.0,0.98
1,4,1,0.9,0.97
2,4,1,1.0,0.99
3,4,1,1.0,0.99
4,4,0,0.2,0.81
5,4,1,1.0,1.0
6,4,1,0.95,0.81
7,4,1,1.0,1.0
8,4,1,1.0,0.97
9,4,1,1.0,0.84
10,4,1,1.0,0.99
11,4,1,1.0,0.84
12,4,1,1.0,1.0
13,4,1,1.0,0.98
14,4,1,1.0,0.84
15,4,0,0.2,0.83
16,4,1,1.0,0.99
17,4,1,0.85,0.95
18,4,1,0.95,0.99
19,4,1,1.0,1.0
20,4,1,1.0,1.0
21,4,1,1.0,0.99
22,4,1,1.0,0.97
23,4,0,0.2,0.83
24,4,1,1.0,1.0
25,4,0,0.2,0.81
26,4,1,1.0,0.99
27,4,1,1.0,0.99
28,4,1,0.95,0.99
29,4,1,1.0,1.0
30,4,1,1.0,0.99
31,4,1,0.95,0.96
32,4,1,1.0,0.99
33,4,1,1.0,0.99
34,4,1,1.0,0.99
35,4,1,1.0,0.98
36,4,1,1.0,1.0
37,4,1,0.9,0.97
38,4,1,1.0,0.97
39,4,1,1.0,0.97
40,4,1,1.0,0.84
41,4,1,0.95,0.97
42,4,1,0.95,0.82
43,4,1,1.0,0.81
44,4,1,0.9,0.66
45,4,1,1.0,0.97
46,4,1,0.95,0.96
47,4,1,1.0,0.98
48,4,1,1.0,1.0
49,4,1,0.95,0.82
50,4,1,1.0,0.99
51,4,1,0.95,0.81
52,4,1,0.95,0.97
53,4,1,1.0,0.97
54,4,1,1.0,0.98
55,4,1,1.0,0.99
56,4,1,0.95,0.97
57,4,1,1.0,1.0
58,4,1,1.0,0.84
59,4,1,0.95,0.98
60,4,1,1.0,0.99
61,4,1,1.0,0.99
62,4,1,1.0,0.97
63,4,1,1.0,0.99
64,4,1,1.0,0.98
65,4,1,0.2,0.68
66,4,1,0.85,0.96
67,4,1,0.9,0.97
68,4,1,0.95,0.97
69,4,1,0.95,0.82
70,4,1,1.0,0.99
71,4,1,0.95,0.83
72,4,1,1.0,0.99
73,4,1,0.95,0.99
74,4,1,1.0,0.67
75,4,1,0.95,0.97
76,4,1,1.0,0.99
77,4,1,1.0,0.83
78,4,1,1.0,0.83
79,4,1,0.95,0.98
80,4,1,0.95,0.81
81,4,1,1.0,0.83
82,4,1,1.0,0.83
83,4,1,0.95,0.82
84,4,1,1.0,0.97
85,4,1,0.2,0.84
86,4,1,1.0,0.79
87,4,1,1.0,0.81
88,4,1,1.0,1.0
89,4,1,0.95,0.99
0,4,1,1.0,0.98
1,4,1,0.9,0.97
2,4,1,1.0,0.99
3,4,1,1.0,0.99
4,4,0,0.2,0.81
5,4,1,1.0,1.0
6,4,1,0.95,0.81
7,4,1,1.0,1.0
8,4,1,1.0,0.97
9,4,1,1.0,0.84
10,4,1,1.0,0.99
11,4,1,1.0,0.84
12,4,1,1.0,1.0
13,4,1,1.0,0.98
14,4,1,1.0,0.84
15,4,1,0.2,0.83
16,4,1,1.0,0.99
17,4,1,0.85,0.95
18,4,1,0.95,0.99
19,4,1,1.0,1.0
20,4,1,1.0,1.0
21,4,1,1.0,0.99
22,4,1,1.0,0.97
23,4,0,0.2,0.83
24,4,1,1.0,1.0
25,4,0,0.2,0.81
26,4,1,1.0,0.99
27,4,1,1.0,0.99
28,4,1,0.95,0.99
29,4,1,1.0,1.0
30,4,1,1.0,0.99
31,4,1,0.95,0.96
32,4,1,1.0,0.99
33,4,1,1.0,0.99
34,4,1,1.0,0.99
35,4,1,1.0,0.98
36,4,1,1.0,1.0
37,4,1,0.9,0.97
38,4,1,1.0,0.97
39,4,1,1.0,0.97
40,4,1,1.0,0.84
41,4,1,0.95,0.97
42,4,1,0.95,0.82
43,4,1,1.0,0.81
44,4,1,0.9,0.66
45,4,1,1.0,0.97
46,4,1,0.95,0.96
47,4,1,1.0,0.98
48,4,1,1.0,1.0
49,4,1,0.95,0.82
50,4,1,1.0,0.99
51,4,1,0.95,0.81
52,4,1,0.95,0.97
53,4,1,1.0,0.97
54,4,1,1.0,0.98
55,4,1,1.0,0.99
56,4,1,0.95,0.97
57,4,1,1.0,1.0
58,4,1,1.0,0.84
59,4,1,0.95,0.98
60,4,1,1.0,0.99
61,4,1,1.0,0.99
62,4,1,1.0,0.97
63,4,1,1.0,0.99
64,4,1,1.0,0.98
65,4,0,0.2,0.68
66,4,0,0.85,0.96
67,4,1,0.9,0.97
68,4,1,0.95,0.97
69,4,1,0.95,0.82
70,4,1,1.0,0.99
71,4,1,0.95,0.83
72,4,1,1.0,0.99
73,4,0,0.95,0.99
74,4,1,1.0,0.67
75,4,1,0.95,0.97
76,4,1,1.0,0.99
77,4,1,1.0,0.83
78,4,1,1.0,0.83
79,4,1,0.95,0.98
80,4,1,0.95,0.81
81,4,1,1.0,0.83
82,4,1,1.0,0.83
83,4,1,0.95,0.82
84,4,1,1.0,0.97
85,4,0,0.2,0.84
86,4,1,1.0,0.79
87,4,1,1.0,0.81
88,4,1,1.0,1.0
89,4,1,0.95,0.99
0,4,1,1.0,0.98
1,4,1,0.9,0.97
2,4,1,1.0,0.99
3,4,1,1.0,0.99
4,4,1,0.2,0.81
5,4,1,1.0,1.0
6,4,1,0.95,0.81
7,4,1,1.0,1.0
8,4,1,1.0,0.97
9,4,1,1.0,0.84
10,4,1,1.0,0.99
11,4,1,1.0,0.84
12,4,1,1.0,1.0
13,4,1,1.0,0.98
14,4,1,1.0,0.84
15,4,0,0.2,0.83
16,4,1,1.0,0.99
17,4,1,0.85,0.95
18,4,1,0.95,0.99
19,4,1,1.0,1.0
20,4,1,1.0,1.0
21,4,1,1.0,0.99
22,4,1,1.0,0.97
23,4,0,0.2,0.83
24,4,1,1.0,1.0
25,4,0,0.2,0.81
26,4,1,1.0,0.99
27,4,1,1.0,0.99
28,4,1,0.95,0.99
29,4,1,1.0,1.0
30,4,1,1.0,0.99
31,4,1,0.95,0.96
32,4,1,1.0,0.99
33,4,1,1.0,0.99
34,4,1,1.0,0.99
35,4,1,1.0,0.98
36,4,1,1.0,1.0
37,4,1,0.9,0.97
38,4,1,1.0,0.97
39,4,1,1.0,0.97
40,4,1,1.0,0.84
41,4,1,0.95,0.97
42,4,1,0.95,0.82
43,4,1,1.0,0.81
44,4,0,0.9,0.66
45,4,1,1.0,0.97
46,4,1,0.95,0.96
47,4,1,1.0,0.98
48,4,1,1.0,1.0
49,4,1,0.95,0.82
50,4,1,1.0,0.99
51,4,1,0.95,0.81
52,4,1,0.95,0.97
53,4,1,1.0,0.97
54,4,1,1.0,0.98
55,4,1,1.0,0.99
56,4,1,0.95,0.97
57,4,1,1.0,1.0
58,4,1,1.0,0.84
59,4,1,0.95,0.98
60,4,1,1.0,0.99
61,4,1,1.0,0.99
62,4,1,1.0,0.97
63,4,1,1.0,0.99
64,4,1,1.0,0.98
65,4,0,0.2,0.68
66,4,1,0.85,0.96
67,4,0,0.9,0.97
